"source","frequency","target"
"right",25,"ekunene"
"RSS",15,"iRSS"
"rule",15,"misela"
"run",20,"phumeza inkqubo"
"running",16,"kuphunyezwa inkqubo"
"save",131,"gcina"
"saved",70,"okugciniweyo"
"saved passwords",16,"amagama okugqithisa agciniweyo"
"saving",20,"kuyagcinwa"
"search",108,"zingela"
"security",88,"ukhuseleko"
"see",16,"bona"
"select",127,"khetha"
"selected",69,"kukhethiwe"
"selection",20,"okukhethiweyo"
"send",89,"thumela"
"sender",36,"umthumeli"
"sending",43,"kuyathunyelwa"
"sent",42,"kuthunyelwe"
"server",231,"iseva"
"session",18,"iseshoni"
"settings",144,"imimiselo"
"setup",98,"misela inkqubo"
"shared",18,"kuyabelwana"
"show",61,"bonisa"
"sign",20,"sayina"
"signature",26,"umsayino"
"signed",22,"kusayiniwe"
"site",126,"isiza"
"sites",39,"iziza"
"size",63,"ubukhulu"
"SMTP",21,"I-SMTP"
"software",30,"iinkqubo eziqulathwa yikhompyutha"
"sort",55,"hlelahlela"
"source",30,"intsusa"
"space",36,"isithuba"
"span",24,"linganisa ngeminwe"
"specified",30,"okuxeliweyo"
"specify",19,"xela"
"SSL",26,"i-SSL"
"start",26,"qalisa"
"status",51,"isimo"
"stop",20,"nqumama"
"stored",32,"okulondoloziweyo"
"string",16,"umtya wamagama"
"strong",16,"okomeleleyo"
"style",15,"ismbo"
"subject",30,"intloko"
"successfully",27,"ngempumelelo"
"support",27,"xhasa"
"sure",81,"qiniseka"
"sure you want",50,"qiniseka ukuba uyafuna"
"sure you want to delete",16,"qiniseka ukuba ufuna ukucima"
"system",36,"isixokelelwano"
"system administrator",16,"umlawuli wesixokelelwano"
"tab",35,"Isahlukanisi sesiqulatho"
"table",50,"itheyibhile"
"tabs",24,"Izahlukanisi zesiqulatho"
"text",128,"isiqendu"
"theme",23,"umxholo"
"themes",30,"imixholo"
"thread",20,"umtya"
"Thunderbird",25,"Thunderbird"
"time",36,"ixesha"
"title",37,"isihloko"
"toolbar",31,"isixwexwe samaqhosha emiyalezo"
"top",15,"ngaphezulu"
"trust",33,"themba"
"try",108,"zama"
"try again",86,"zamakwakhona"
"trying",29,"kuyazanywa"
"unable",67,"ukungabi nako"
"undo",26,"chitha okwenziweyo"
"unexpected",16,"okungalindelekanga"
"uninstall",18,"khupha okuhlohliweyo"
"unknown",55,"okungaziwayo"
"unread",23,"susa okufundiweyo"
"update",122,"hlaziya"
"updated",18,"kuhlaziyiwe"
"updates",75,"okuhlaziyiweyo"
"URL",43,"i-URL"
"user",64,"umsebenzisi"
"user name",22,"igama lomsebenzisi"
"username",17,"igamalomsebenzisi"
"valid",46,"okunyanisekileyo"
"validate",18,"nyanisekisa"
"value",30,"ixabiso"
"verify",46,"qinisekisa"
"version",47,"uguqelelo"
"view",84,"jonga"
"wait",23,"linda"
"want",126,"funa"
"want to delete",18,"ufuna ukucima"
"web",124,"uthungelwano"
"web page",35,"ikhasi lothungelwano"
"web site",32,"isiza sothungelwano"
"width",26,"ububanzi"
"window",58,"ifestile"
"windows",65,"iifestile"
"windows",,"Windows"
"work",55,"umsebenzi"
"write",15,"bhala"
"XPath",17,"XPath"
